gate,svd_dim,model,attack_family,attack,target,target_kind,n,n_fire,detection_rate,ci95_low,ci95_high
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_XFY,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,integrity_pred_disagreement,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,integrity_confusion_profile_l1_delta,sensor_exact,10,9,0.9,0.5549838829718046,0.9974714214555382
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,integrity_confusion_profile_jsd_delta,sensor_exact,10,9,0.9,0.5549838829718046,0.9974714214555382
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,label_flip_rate,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_XF_item_aligned,regime_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.050,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_confusion_profile_jsd,sensor,10,3,0.3,0.0667395111777345,0.6524528500599973
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_XFY,regime,10,3,0.3,0.0667395111777345,0.6524528500599973
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_pred_disagreement,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_confusion_profile_l1_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,label_flip_rate,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_XF_item_aligned,regime_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_prior_preserving_r_0.100,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_XFY,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_pred_disagreement,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_confusion_profile_l1_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,integrity_confusion_profile_jsd_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,label_flip_rate,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_XF_item_aligned,regime_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.020,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_confusion_profile_jsd,sensor,10,1,0.1,0.0025285785444617865,0.4450161170281954
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_XFY,regime,10,1,0.1,0.0025285785444617865,0.4450161170281954
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_pred_disagreement,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_confusion_profile_l1_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,integrity_confusion_profile_jsd_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,label_flip_rate,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_XF_item_aligned,regime_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.050,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_confusion_profile_l1,sensor,10,1,0.1,0.0025285785444617865,0.4450161170281954
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_confusion_profile_jsd,sensor,10,4,0.4,0.1215522581198272,0.7376219233930549
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_XFY,regime,10,4,0.4,0.1215522581198272,0.7376219233930549
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_pred_disagreement,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_confusion_profile_l1_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,label_flip_rate,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_XF_item_aligned,regime_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,qsvc_zz_r1,target_shift,label_flip_r_0.100,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_XFY,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_pred_disagreement,sensor_exact,10,7,0.7,0.34754714994000274,0.9332604888222655
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_l1_delta,sensor_exact,10,7,0.7,0.34754714994000274,0.9332604888222655
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,integrity_confusion_profile_jsd_delta,sensor_exact,10,7,0.7,0.34754714994000274,0.9332604888222655
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,label_flip_rate,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_XF_item_aligned,regime_exact,10,7,0.7,0.34754714994000274,0.9332604888222655
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.020,I_XFY_item_aligned,regime_exact,10,7,0.7,0.34754714994000274,0.9332604888222655
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_score_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_X,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_XF,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_XFY,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_pred_disagreement,sensor_exact,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_confusion_profile_l1_delta,sensor_exact,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,integrity_confusion_profile_jsd_delta,sensor_exact,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,label_flip_rate,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_XF_item_aligned,regime_exact,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.050,I_XFY_item_aligned,regime_exact,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_jsd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_mmd_vs_clean_eval,sensor,10,1,0.1,0.0025285785444617865,0.4450161170281954
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_ks_reject05_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_score_jsd_vs_clean_eval,sensor,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_X,regime,10,1,0.1,0.0025285785444617865,0.4450161170281954
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_XF,regime,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_Ym,regime,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_XFY,regime,10,8,0.8,0.4439045376923585,0.9747892736731666
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_pred_disagreement,sensor_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_l1_delta,sensor_exact,10,9,0.9,0.5549838829718046,0.9974714214555382
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,integrity_confusion_profile_jsd_delta,sensor_exact,10,9,0.9,0.5549838829718046,0.9974714214555382
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,label_flip_rate,sensor_exact,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_XF_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,corruption,feature_sign_flip_p_0.100,I_XFY_item_aligned,regime_exact,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_jsd_vs_clean_eval,sensor,10,9,0.9,0.5549838829718046,0.9974714214555382
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_mmd_vs_clean_eval,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_ks_reject05_vs_clean_eval,sensor,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_score_jsd_vs_clean_eval,sensor,10,5,0.5,0.18708602844739855,0.8129139715526015
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_pred_pos_rate_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_pred_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_label_prior_shift,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_label_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_l1,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,integrity_confusion_profile_jsd,sensor,10,0,0.0,0.0,0.3084971078187608
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,I_X,regime,10,10,1.0,0.6915028921812392,1.0
gate5b_id_ton_iot,12,svc_rbf,covariate_shift,mean_shift_pf_delta_0.020,I_XF,regime,10,10,1.0,0.6915028921812392,1.0
